Strain Category,Z1,Z2.5,PGV1,Magnitude,Depth2,Rrup1,Vs10,Vs30,Vs50,Vs100,VsMean,VsMin,VsMax,VsZhole,EQcategory1,boreholeDepth,PGA (g),kappa surface
1,173.9309048,2240,0.000024969,4.6,101,114.505,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,4,100,0.006580229,0.064499
1,173.9309048,2240,0.000068505,4.8,101,142.305,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,4,100,0.009000015,0.072011
1,173.9309048,2240,0.00035745,5.7,56,126.08,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.031435811,0.07068
1,173.9309048,2240,0.000031454,4.3,53,109.31,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.007267517,0.070508
1,173.9309048,2240,0.000043099,5,53,134.96,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.005817481,0.063687
1,173.9309048,2240,0.000093418,5,41,126.1,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.010935437,0.063048
1,173.9309048,2240,0.000032128,4.5,74,143.605,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,4,100,0.006040799,0.059363
1,173.9309048,2240,0.000036074,4.5,41,125.825,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.006555756,0.067083
1,173.9309048,2240,0.00014074,5.3,41,122.725,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.015247817,0.064207
1,173.9309048,2240,0.000018193,4.2,50,105.495,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.004510205,0.066528
1,173.9309048,2240,0.000033208,4.8,47,139.31,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.00513835,0.06114
1,173.9309048,2240,0.00035452,5.8,53,135.725,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.023234234,0.060845
1,173.9309048,2240,0.000038984,4.9,50,136.795,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.005092463,0.056062
1,173.9309048,2240,0.000097769,5.4,47,121.28,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.010363376,0.059543
1,173.9309048,2240,0.000015892,4.4,59,135.795,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,4,100,0.005166902,0.061146
1,173.9309048,2240,0.000024317,4.3,53,99.545,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.005414693,0.052537
1,173.9309048,2240,0.00010786,4.3,5,81.45,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,2,100,0.010552023,0.062291
1,173.9309048,2240,0.000022198,3.8,5,81.93,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,2,100,0.006349773,0.062558
1,173.9309048,2240,0.0005842,5.8,53,135.755,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.031787614,0.064432
1,173.9309048,2240,0.000089275,4.1,59,125.335,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,4,100,0.00873081,0.054907
1,173.9309048,2240,0.000022908,4.3,62,122.46,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.00578689,0.063624
1,173.9309048,2240,0.00040189,6.1,41,120.365,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.023735934,0.061397
1,173.9309048,2240,0.0002235,4.7,83,97.935,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,4,100,0.012642442,0.05772
1,173.9309048,2240,0.00030768,5.7,41,123.28,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.014800161,0.083476
1,173.9309048,2240,0.00049574,5.7,47,131.335,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.029805285,0.063638
1,173.9309048,2240,0.00011329,4.9,44,127.855,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.009407902,0.063224
1,173.9309048,2240,0.00025868,5.4,41,125.185,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.013766169,0.061178
1,173.9309048,2240,0.000027777,4.5,5,131.185,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,2,100,0.006279412,0.070866
1,173.9309048,2240,0.000077156,5.3,50,145.8,193.5483871,281.0014728,333.2907283,423.0030442,423.0030442,80,820,820,3,100,0.009787236,0.059285
1,300,1800,0.00057064,5.5,59,69.255,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,4,150,0.035552406,0.058338
1,300,1800,0.00022437,5.1,50,99.515,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.015191732,0.073685
1,300,1800,0.00017808,5.4,56,124.905,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.015383439,0.061074
1,300,1800,0.000080261,4.3,77,114.1,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,4,150,0.006581248,0.053907
1,300,1800,0.00027637,5.6,56,120.465,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.024001061,0.064724
1,300,1800,0.0000673,4.9,53,136.69,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.006419114,0.066945
1,300,1800,0.0001247,4.9,53,127.98,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.01153401,0.066508
1,300,1800,0.00011886,4.2,89,84.39,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,4,150,0.012162155,0.055905
1,300,1800,0.00012907,4.4,98,105.49,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,4,150,0.007863032,0.061288
1,300,1800,0.000097323,5.1,44,115.555,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.009656713,0.073012
1,300,1800,0.00071004,6,50,102.02,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.035489183,0.068987
1,300,1800,0.000062445,4.4,44,105.515,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.006090765,0.072078
1,300,1800,0.00011259,4.9,41,101.68,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.006308984,0.066503
1,300,1800,0.00016807,4.9,53,100.665,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.010753927,0.062866
1,300,1800,0.000056677,4.8,50,129.015,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.004631551,0.060507
1,300,1800,0.00015265,5.3,56,124.92,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.008461605,0.065155
1,300,1800,0.000070602,4.2,53,81.975,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,4,150,0.005435087,0.063687
1,300,1800,0.00017623,5.3,41,101.09,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.010458209,0.069286
1,300,1800,0.000041211,4.4,50,107.885,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.004538757,0.057211
1,300,1800,0.00018728,4.3,53,96.075,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,4,150,0.020801191,0.068804
1,300,1800,0.000060143,4.3,41,121.06,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,1,150,0.006925913,0.070423
1,300,1800,0.000063637,4.8,47,128.72,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.008076152,0.065858
1,300,1800,0.00036148,5.8,53,124.01,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.019955846,0.064753
1,300,1800,0.000083069,5,35,124.945,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.005525842,0.080585
1,300,1800,0.00014363,5.4,47,104.095,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.008009871,0.063012
1,300,1800,0.000094531,4.2,80,81.125,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,4,150,0.006317142,0.054836
1,300,1800,0.00024516,4.9,47,98.05,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.014618652,0.078712
1,300,1800,0.000052558,4.8,32,132.995,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.005898039,0.074632
1,300,1800,0.00016372,5,47,132.23,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,1,150,0.013639724,0.061889
1,300,1800,0.00061481,6.3,38,143.515,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.015875962,0.086032
1,300,1800,0.0010027,5.8,53,123.75,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.039397756,0.072576
1,300,1800,0.000041803,4.3,83,104.995,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,4,150,0.004288926,0.065204
1,300,1800,0.00040745,6.1,41,98.62,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.025393993,0.062683
1,300,1800,0.000099848,5.1,35,126.15,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.006786211,0.082664
1,300,1800,0.000257,5.7,41,101.02,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.010981324,0.069259
1,300,1800,0.00012098,5.6,32,137.98,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.00754488,0.075926
1,300,1800,0.00013037,4.9,44,106.375,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.011013955,0.068659
1,300,1800,0.00033717,5.4,41,103.64,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.015928987,0.068448
1,300,1800,0.000083465,5.3,50,135.555,130.952381,154.2742654,183.5664336,241.8889241,279.6002814,110,430,430,3,150,0.006093824,0.059944
1,248.6,1460,0.000030739,4.3,32,124.05,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.012445636,0.065598
1,248.6,1460,0.00015514,5.6,56,144.09,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.032809369,0.057856
1,248.6,1460,0.00034514,6,50,130.45,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.051009264,0.064208
1,248.6,1460,0.00006515,4.9,41,131.365,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.012248831,0.072767
1,248.6,1460,0.000080445,4.8,74,136.84,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,4,150,0.017224027,0.055657
1,248.6,1460,0.000076337,4.7,86,109.46,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,4,150,0.018909617,0.064731
1,248.6,1460,0.00032445,5.6,53,130.58,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.03507008,0.065643
1,248.6,1460,0.000036547,4.1,59,109.97,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.012418104,0.056782
1,248.6,1460,0.000026645,3.9,35,136.08,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,4,150,0.011520754,0.058369
1,248.6,1460,0.000034612,4.5,41,126.19,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.01110369,0.058951
1,248.6,1460,0.000082653,4.3,53,112.23,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,4,150,0.02565504,0.066152
1,248.6,1460,0.000036451,4.3,41,148,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,1,150,0.012147879,0.065601
1,248.6,1460,0.00012876,5.1,110,148.285,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,4,150,0.015455839,0.068809
1,248.6,1460,0.000061096,5.4,47,132.49,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.01329404,0.058528
1,248.6,1460,0.000035096,4.3,53,109.75,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.013172694,0.05147
1,248.6,1460,0.00041288,5.7,44,118.72,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.024636344,0.06451
1,248.6,1460,0.000098751,4.9,47,119.295,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.017504449,0.078436
1,248.6,1460,0.00039381,5.8,53,148.375,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.054533403,0.067343
1,248.6,1460,0.00014894,4.9,5,65.96,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,2,150,0.018201934,0.040694
1,248.6,1460,0.000054461,4.3,50,107.625,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.018441568,0.048288
1,248.6,1460,0.00010096,5.1,35,148.39,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.010334824,0.081822
1,248.6,1460,0.0002515,5.7,41,124.535,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.028151305,0.07173
1,248.6,1460,0.000027816,4.3,68,110.155,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.010027889,0.055998
1,248.6,1460,0.000069443,4.9,44,127.795,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.014190371,0.060176
1,248.6,1460,0.0001527,5.4,41,124.92,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.018214171,0.058317
1,248.6,1460,0.000091189,5,35,146.395,135.1351351,225.7525084,250.5567929,329.6358309,405.3706246,80,770,770,3,150,0.009489479,0.082849
1,74,620,0.00032471,5.5,59,75.985,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,4,114,0.046450113,0.048474
1,74,620,0.0010867,6.4,50,108.745,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,3,114,0.048595596,0.06043
1,74,620,0.00027284,5.1,50,113.96,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,3,114,0.021231511,0.062952
1,74,620,0.000043898,4.6,50,145.55,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,3,114,0.009541485,0.064089
1,74,620,0.00011195,5.4,56,140.01,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,3,114,0.010140058,0.049403
1,74,620,0.000063728,4.3,77,122.215,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,4,114,0.011560523,0.049721
